02.03.20 10:29:17 | A/0
02.03.20 10:29:17 | ОШИБКА: деление на ноль
02.03.20 10:29:28 | A/0
02.03.20 10:29:28 | ПАМЫЛКА: дзяленне на нуль
02.03.20 10:35:57 | s
02.03.20 10:35:57 | ПАМЫЛКА: памылка стварэння зменнай s
02.03.20 10:36:08 | varlist
02.03.20 10:36:08 | ПАМЫЛКА: памылка стварэння зменнай varlist
03.03.2020, 23:46:38 | ОШИБКА: error.file
03.03.2020, 23:50:50 | ОШИБКА: error.file
03.03.2020, 23:51:28 | A+1
03.03.2020, 23:51:28 | ПАМЫЛКА: памылка стварэння зменнай A
03.03.2020, 23:52:46 | ОШИБКА: error.file
03.03.2020, 23:52:51 | a=1
03.03.2020, 23:52:51 | 1.0
03.03.2020, 23:52:55 | b=2
03.03.2020, 23:52:55 | 2.0
03.03.2020, 23:59:49 | a=4
03.03.2020, 23:59:49 | 4.0
03.03.2020, 23:59:57 | 6/0
03.03.2020, 23:59:57 | ОШИБКА: деление на ноль
04.03.2020, 0:03:28 | ОШИБКА: ошибка файла
04.03.2020, 21:56:47 | 1+1
04.03.2020, 21:56:47 | 2.0
04.03.2020, 21:56:53 | h=5
04.03.2020, 21:56:53 | 5.0
04.03.2020, 21:56:57 | h+9
04.03.2020, 21:56:57 | 14.0
04.03.2020, 21:58:44 | 5+5
04.03.2020, 21:58:44 | 10.0
04.03.2020, 21:58:47 | 5*5
04.03.2020, 21:58:47 | 25.0
04.03.2020, 21:58:52 | р-99
04.03.2020, 21:58:52 | ОШИБКА: ошибка создания переменной
04.03.2020, 21:59:01 | h-99
04.03.2020, 21:59:01 | -94.0
04.03.2020, 22:03:22 | 5+5
04.03.2020, 22:03:22 | 10.0
04.03.2020, 22:03:25 | y+5
04.03.2020, 22:03:25 | ОШИБКА: ошибка создания переменной
04.03.2020, 22:03:31 | fff-888
04.03.2020, 22:03:31 | ОШИБКА: ошибка создания переменной
04.03.2020, 22:04:28 | r+r
04.03.2020, 22:04:28 | ОШИБКА: ошибка создания переменной
04.03.2020, 22:04:31 | h+h
04.03.2020, 22:04:31 | 10.0
04.03.2020, 22:04:33 | a+a
04.03.2020, 22:04:33 | ОШИБКА: ошибка создания переменной
04.03.2020, 22:04:38 | 4*9999999
04.03.2020, 22:04:38 | ОШИБКА: ошибка создания переменной
04.03.2020, 22:04:43 | 5*888
04.03.2020, 22:04:43 | 4440.0
04.03.2020, 22:04:47 | 6*99999999
04.03.2020, 22:04:47 | ОШИБКА: ошибка создания переменной
04.03.2020, 22:04:55 | 999999+888888
04.03.2020, 22:04:55 | 1888887.0
